id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_wisatawan,jumlah_pengunjung,satuan,tahun
159,32,JAWA BARAT,3279,KOTA BANJAR,MANCANEGARA,0,ORANG,2016
160,32,JAWA BARAT,3279,KOTA BANJAR,NUSANTARA,50453,ORANG,2016
161,32,JAWA BARAT,3201,KABUPATEN BOGOR,MANCANEGARA,677858,ORANG,2017
162,32,JAWA BARAT,3201,KABUPATEN BOGOR,NUSANTARA,4411967,ORANG,2017
163,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MANCANEGARA,14008,ORANG,2017
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NUSANTARA,2167288,ORANG,2017
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MANCANEGARA,287190,ORANG,2017
166,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NUSANTARA,3614683,ORANG,2017
167,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MANCANEGARA,578321,ORANG,2017
168,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NUSANTARA,3385860,ORANG,2017
169,32,JAWA BARAT,3205,KABUPATEN GARUT,MANCANEGARA,4934,ORANG,2017
170,32,JAWA BARAT,3205,KABUPATEN GARUT,NUSANTARA,1650983,ORANG,2017
171,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MANCANEGARA,703,ORANG,2017
172,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NUSANTARA,325507,ORANG,2017
173,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MANCANEGARA,0,ORANG,2017
174,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NUSANTARA,338310,ORANG,2017
175,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MANCANEGARA,784,ORANG,2017
176,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NUSANTARA,197822,ORANG,2017
177,32,JAWA BARAT,3209,KABUPATEN CIREBON,MANCANEGARA,0,ORANG,2017
178,32,JAWA BARAT,3209,KABUPATEN CIREBON,NUSANTARA,108463,ORANG,2017
179,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MANCANEGARA,0,ORANG,2017
180,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NUSANTARA,200226,ORANG,2017
181,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MANCANEGARA,352,ORANG,2017
182,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NUSANTARA,427132,ORANG,2017
183,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MANCANEGARA,0,ORANG,2017
184,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NUSANTARA,318239,ORANG,2017
185,32,JAWA BARAT,3213,KABUPATEN SUBANG,MANCANEGARA,4621,ORANG,2017
186,32,JAWA BARAT,3213,KABUPATEN SUBANG,NUSANTARA,176254,ORANG,2017
187,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MANCANEGARA,435342,ORANG,2017
188,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NUSANTARA,5436456,ORANG,2017
189,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MANCANEGARA,6,ORANG,2017
190,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NUSANTARA,6390906,ORANG,2017
191,32,JAWA BARAT,3216,KABUPATEN BEKASI,MANCANEGARA,0,ORANG,2017
192,32,JAWA BARAT,3216,KABUPATEN BEKASI,NUSANTARA,49740,ORANG,2017
193,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MANCANEGARA,480531,ORANG,2017
194,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NUSANTARA,1405920,ORANG,2017
195,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MANCANEGARA,8689,ORANG,2017
196,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NUSANTARA,2528273,ORANG,2017
197,32,JAWA BARAT,3271,KOTA BOGOR,MANCANEGARA,14670,ORANG,2017
198,32,JAWA BARAT,3271,KOTA BOGOR,NUSANTARA,5875274,ORANG,2017
199,32,JAWA BARAT,3272,KOTA SUKABUMI,MANCANEGARA,3566,ORANG,2017
200,32,JAWA BARAT,3272,KOTA SUKABUMI,NUSANTARA,115750,ORANG,2017
201,32,JAWA BARAT,3273,KOTA BANDUNG,MANCANEGARA,432271,ORANG,2017
202,32,JAWA BARAT,3273,KOTA BANDUNG,NUSANTARA,1431290,ORANG,2017
203,32,JAWA BARAT,3274,KOTA CIREBON,MANCANEGARA,1494,ORANG,2017
204,32,JAWA BARAT,3274,KOTA CIREBON,NUSANTARA,1422458,ORANG,2017
205,32,JAWA BARAT,3275,KOTA BEKASI,MANCANEGARA,0,ORANG,2017
206,32,JAWA BARAT,3275,KOTA BEKASI,NUSANTARA,0,ORANG,2017
207,32,JAWA BARAT,3276,KOTA DEPOK,MANCANEGARA,0,ORANG,2017
208,32,JAWA BARAT,3276,KOTA DEPOK,NUSANTARA,32000,ORANG,2017
209,32,JAWA BARAT,3277,KOTA CIMAHI,MANCANEGARA,351,ORANG,2017
210,32,JAWA BARAT,3277,KOTA CIMAHI,NUSANTARA,1372,ORANG,2017
211,32,JAWA BARAT,3278,KOTA TASIKMALAYA,MANCANEGARA,25,ORANG,2017
212,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NUSANTARA,359174,ORANG,2017
213,32,JAWA BARAT,3279,KOTA BANJAR,MANCANEGARA,0,ORANG,2017
214,32,JAWA BARAT,3279,KOTA BANJAR,NUSANTARA,35137,ORANG,2017
215,32,JAWA BARAT,3201,KABUPATEN BOGOR,NUSANTARA,4411967,ORANG,2018
216,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NUSANTARA,2172706,ORANG,2018
217,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NUSANTARA,8559255,ORANG,2018
218,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NUSANTARA,1900000,ORANG,2018
219,32,JAWA BARAT,3205,KABUPATEN GARUT,NUSANTARA,2719174,ORANG,2018
220,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NUSANTARA,1418679,ORANG,2018
221,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NUSANTARA,1347895,ORANG,2018
222,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NUSANTARA,1974591,ORANG,2018
223,32,JAWA BARAT,3209,KABUPATEN CIREBON,NUSANTARA,1187576,ORANG,2018
224,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NUSANTARA,230591,ORANG,2018
225,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NUSANTARA,428200,ORANG,2018
226,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NUSANTARA,789742,ORANG,2018
227,32,JAWA BARAT,3213,KABUPATEN SUBANG,NUSANTARA,3801603,ORANG,2018
228,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NUSANTARA,5755896,ORANG,2018
229,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NUSANTARA,6390906,ORANG,2018
230,32,JAWA BARAT,3216,KABUPATEN BEKASI,NUSANTARA,45274,ORANG,2018
231,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NUSANTARA,13701916,ORANG,2018
232,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NUSANTARA,3571,ORANG,2018
233,32,JAWA BARAT,3271,KOTA BOGOR,NUSANTARA,6340,ORANG,2018
234,32,JAWA BARAT,3272,KOTA SUKABUMI,NUSANTARA,116039,ORANG,2018
235,32,JAWA BARAT,3273,KOTA BANDUNG,NUSANTARA,2431290,ORANG,2018
236,32,JAWA BARAT,3274,KOTA CIREBON,NUSANTARA,1256644,ORANG,2018
237,32,JAWA BARAT,3275,KOTA BEKASI,NUSANTARA,0,ORANG,2018
238,32,JAWA BARAT,3276,KOTA DEPOK,NUSANTARA,32112,ORANG,2018
239,32,JAWA BARAT,3277,KOTA CIMAHI,NUSANTARA,12224,ORANG,2018
240,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NUSANTARA,82329,ORANG,2018
241,32,JAWA BARAT,3279,KOTA BANJAR,NUSANTARA,35225,ORANG,2018
242,32,JAWA BARAT,3201,KABUPATEN BOGOR,MANCANEGARA,26264,ORANG,2019
243,32,JAWA BARAT,3201,KABUPATEN BOGOR,NUSANTARA,2670203,ORANG,2019
244,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MANCANEGARA,10500,ORANG,2019
245,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NUSANTARA,153733,ORANG,2019
246,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MANCANEGARA,172140,ORANG,2019
247,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NUSANTARA,4312047,ORANG,2019
248,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MANCANEGARA,4506,ORANG,2019
249,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NUSANTARA,2485755,ORANG,2019
250,32,JAWA BARAT,3205,KABUPATEN GARUT,MANCANEGARA,1275,ORANG,2019
251,32,JAWA BARAT,3205,KABUPATEN GARUT,NUSANTARA,2850534,ORANG,2019
252,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MANCANEGARA,3075,ORANG,2019
253,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NUSANTARA,1446239,ORANG,2019
254,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MANCANEGARA,35,ORANG,2019
255,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NUSANTARA,697782,ORANG,2019
256,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MANCANEGARA,15,ORANG,2019
257,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NUSANTARA,358896,ORANG,2019
258,32,JAWA BARAT,3209,KABUPATEN CIREBON,MANCANEGARA,15,ORANG,2019
259,32,JAWA BARAT,3209,KABUPATEN CIREBON,NUSANTARA,260342,ORANG,2019
260,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MANCANEGARA,1548,ORANG,2019
261,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NUSANTARA,699787,ORANG,2019
262,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MANCANEGARA,0,ORANG,2019
263,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NUSANTARA,175945,ORANG,2019
264,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MANCANEGARA,37,ORANG,2019
265,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NUSANTARA,1430035,ORANG,2019
266,32,JAWA BARAT,3213,KABUPATEN SUBANG,MANCANEGARA,0,ORANG,2019
267,32,JAWA BARAT,3213,KABUPATEN SUBANG,NUSANTARA,1080895,ORANG,2019
268,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MANCANEGARA,713,ORANG,2019
269,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NUSANTARA,2080581,ORANG,2019
